n,Average,Min,Max,Range,Variance
392000,0.000469,0.000463,0.000487,0.000024,0.000000
393000,0.000469,0.000464,0.000483,0.000019,0.000000
394000,0.000471,0.000465,0.000479,0.000014,0.000000
395000,0.000471,0.000467,0.000481,0.000014,0.000000
396000,0.000473,0.000468,0.000477,0.000009,0.000000
397000,0.000476,0.000469,0.000515,0.000046,0.000000
398000,0.000476,0.000470,0.000490,0.000020,0.000000
399000,0.000487,0.000472,0.000737,0.000265,0.000000
400000,0.000476,0.000472,0.000486,0.000014,0.000000
401000,0.000478,0.000473,0.000489,0.000016,0.000000
402000,0.000481,0.000475,0.000495,0.000020,0.000000
403000,0.000480,0.000476,0.000487,0.000011,0.000000
404000,0.000486,0.000477,0.000577,0.000100,0.000000
405000,0.000484,0.000478,0.000493,0.000015,0.000000
406000,0.000485,0.000480,0.000499,0.000019,0.000000
407000,0.000486,0.000481,0.000506,0.000025,0.000000
408000,0.000486,0.000482,0.000500,0.000018,0.000000
409000,0.000489,0.000482,0.000499,0.000017,0.000000
410000,0.000489,0.000485,0.000500,0.000015,0.000000
411000,0.000492,0.000485,0.000537,0.000052,0.000000
412000,0.000491,0.000487,0.000505,0.000018,0.000000
413000,0.000492,0.000488,0.000498,0.000010,0.000000
414000,0.000494,0.000489,0.000508,0.000019,0.000000
415000,0.000494,0.000490,0.000512,0.000022,0.000000
416000,0.000502,0.000491,0.000660,0.000169,0.000000
417000,0.000497,0.000493,0.000506,0.000013,0.000000
418000,0.000502,0.000494,0.000583,0.000089,0.000000
419000,0.000499,0.000495,0.000510,0.000015,0.000000
420000,0.000500,0.000496,0.000509,0.000013,0.000000
421000,0.000503,0.000497,0.000514,0.000017,0.000000
422000,0.000504,0.000498,0.000523,0.000025,0.000000
423000,0.000504,0.000499,0.000517,0.000018,0.000000
424000,0.000506,0.000501,0.000519,0.000018,0.000000
425000,0.000509,0.000502,0.000549,0.000047,0.000000
426000,0.000509,0.000503,0.000522,0.000019,0.000000
427000,0.000511,0.000504,0.000530,0.000026,0.000000
428000,0.000509,0.000506,0.000517,0.000011,0.000000
429000,0.000512,0.000507,0.000516,0.000009,0.000000
430000,0.000512,0.000508,0.000525,0.000017,0.000000
431000,0.000514,0.000509,0.000519,0.000010,0.000000
432000,0.000519,0.000510,0.000586,0.000076,0.000000
433000,0.000517,0.000511,0.000527,0.000016,0.000000
434000,0.000527,0.000513,0.000756,0.000243,0.000000
435000,0.000518,0.000514,0.000528,0.000014,0.000000
436000,0.000689,0.000515,0.003506,0.002991,0.000001
437000,0.000522,0.000516,0.000542,0.000026,0.000000
438000,0.000525,0.000517,0.000583,0.000066,0.000000
439000,0.000524,0.000519,0.000541,0.000022,0.000000
440000,0.000525,0.000520,0.000535,0.000015,0.000000
441000,0.000528,0.000521,0.000542,0.000021,0.000000
442000,0.000526,0.000522,0.000537,0.000015,0.000000
443000,0.000529,0.000523,0.000555,0.000032,0.000000
444000,0.000560,0.000524,0.001278,0.000754,0.000000
445000,0.000542,0.000526,0.000629,0.000103,0.000000
446000,0.000532,0.000527,0.000539,0.000012,0.000000
447000,0.000533,0.000527,0.000558,0.000031,0.000000
448000,0.000535,0.000529,0.000549,0.000020,0.000000
449000,0.000534,0.000530,0.000540,0.000010,0.000000
450000,0.000545,0.000531,0.000753,0.000222,0.000000
451000,0.000571,0.000532,0.001354,0.000822,0.000000
452000,0.000551,0.000534,0.000733,0.000199,0.000000
453000,0.000541,0.000535,0.000560,0.000025,0.000000
454000,0.000542,0.000536,0.000550,0.000014,0.000000
455000,0.000543,0.000537,0.000553,0.000016,0.000000
456000,0.000543,0.000538,0.000550,0.000012,0.000000
457000,0.000546,0.000540,0.000561,0.000021,0.000000
458000,0.000549,0.000540,0.000629,0.000089,0.000000
459000,0.000547,0.000542,0.000552,0.000010,0.000000
460000,0.000548,0.000543,0.000563,0.000020,0.000000
461000,0.000548,0.000544,0.000565,0.000021,0.000000
462000,0.000551,0.000546,0.000558,0.000012,0.000000
463000,0.000551,0.000547,0.000569,0.000022,0.000000
464000,0.000553,0.000548,0.000561,0.000013,0.000000
465000,0.000556,0.000549,0.000596,0.000047,0.000000
466000,0.000563,0.000550,0.000740,0.000190,0.000000
467000,0.000558,0.000551,0.000583,0.000032,0.000000
468000,0.000558,0.000553,0.000568,0.000015,0.000000
469000,0.000559,0.000553,0.000572,0.000019,0.000000
470000,0.000560,0.000555,0.000575,0.000020,0.000000
471000,0.000563,0.000556,0.000633,0.000077,0.000000
472000,0.000563,0.000558,0.000573,0.000015,0.000000
473000,0.000564,0.000559,0.000579,0.000020,0.000000
474000,0.000565,0.000560,0.000578,0.000018,0.000000
475000,0.000566,0.000561,0.000588,0.000027,0.000000
476000,0.000568,0.000562,0.000578,0.000016,0.000000
477000,0.000570,0.000563,0.000608,0.000045,0.000000
478000,0.000582,0.000564,0.000886,0.000322,0.000000
479000,0.000570,0.000565,0.000576,0.000011,0.000000
480000,0.000574,0.000567,0.000597,0.000030,0.000000
481000,0.000583,0.000568,0.000828,0.000260,0.000000
482000,0.000576,0.000569,0.000590,0.000021,0.000000
483000,0.000577,0.000570,0.000586,0.000016,0.000000
484000,0.000587,0.000571,0.000795,0.000224,0.000000
485000,0.000579,0.000573,0.000588,0.000015,0.000000
486000,0.000579,0.000574,0.000588,0.000014,0.000000
487000,0.001049,0.000576,0.004634,0.004058,0.000002
488000,0.000648,0.000585,0.002020,0.001435,0.000000
489000,0.000594,0.000577,0.000708,0.000131,0.000000
490000,0.000584,0.000579,0.000594,0.000015,0.000000
491000,0.000587,0.000580,0.000600,0.000020,0.000000
492000,0.000589,0.000581,0.000614,0.000033,0.000000
493000,0.000588,0.000582,0.000593,0.000011,0.000000
494000,0.000589,0.000584,0.000594,0.000010,0.000000
495000,0.000592,0.000584,0.000645,0.000061,0.000000
496000,0.000601,0.000586,0.000845,0.000259,0.000000
