Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
18301,1,0.007488,1.82E-07,1.82E-07,,18301,0.881781,0.096084,1.18E-01,1.18E-01
18401,1,0.00756,1.81E-07,1.81E-07,,18401,0.930953,0.099999,6.90E-02,6.90E-02
18501,1,0.007572,1.80E-07,1.80E-07,,18501,0.984021,0.106408,1.60E-02,1.60E-02
18601,1,0.007637,1.79E-07,1.79E-07,,18601,0.932858,0.069341,6.71E-02,6.71E-02
18701,1,0.00765,1.78E-07,1.78E-07,,18701,0.982459,0.090133,1.75E-02,1.75E-02
18801,1,0.007717,1.77E-07,1.77E-07,,18801,0.999165,0.070818,8.35E-04,8.35E-04
18901,1,0.007731,1.76E-07,1.76E-07,,18901,0.998995,0.119974,1.01E-03,1.01E-03
19001,1,0.007772,1.75E-07,1.75E-07,,19001,0.944278,0.086909,5.57E-02,5.57E-02
19101,1,0.007813,1.74E-07,1.74E-07,,19101,0.983618,0.066278,1.64E-02,1.64E-02
19201,1,0.007853,1.73E-07,1.73E-07,,19201,0.95682,0.098473,4.32E-02,4.32E-02
19301,1,0.00813,1.72E-07,1.72E-07,,19301,0.981783,0.102896,1.82E-02,1.82E-02
19401,1,0.007987,1.71E-07,1.71E-07,,19401,0.964088,0.050779,3.59E-02,3.59E-02
19501,1,0.00804,1.70E-07,1.70E-07,,19501,0.999807,0.071327,1.93E-04,1.93E-04
19601,1,0.008012,1.69E-07,1.69E-07,,19601,0.997865,0.065885,2.14E-03,2.14E-03
19701,1,0.008064,1.68E-07,1.68E-07,,19701,0.93117,0.124463,6.88E-02,6.88E-02
19801,1,0.008088,1.67E-07,1.67E-07,,19801,0.977101,0.091816,2.29E-02,2.29E-02
19901,1,0.008175,1.67E-07,1.67E-07,,19901,0.557984,0.099686,4.42E-01,4.42E-01
20001,1,0.008169,1.66E-07,1.66E-07,,20001,0.931851,0.103479,6.81E-02,6.81E-02
20101,1,0.008247,1.65E-07,1.65E-07,,20101,0.986766,0.099206,1.32E-02,1.32E-02
20201,1,0.00825,1.64E-07,1.64E-07,,20201,0.98328,0.108717,1.67E-02,1.67E-02
20301,1,0.008307,1.63E-07,1.63E-07,,20301,0.999444,0.108431,5.57E-04,5.57E-04
20401,1,0.008377,1.63E-07,1.63E-07,,20401,0.978495,0.089688,2.15E-02,2.15E-02
20501,1,0.008401,1.62E-07,1.62E-07,,20501,0.984998,0.101005,1.50E-02,1.50E-02
20601,1,0.008458,1.61E-07,1.61E-07,,20601,0.994953,0.099995,5.05E-03,5.05E-03
20701,1,0.008452,1.60E-07,1.60E-07,,20701,0.986331,0.121891,1.37E-02,1.37E-02
20801,1,0.00852,1.59E-07,1.59E-07,,20801,0.950589,0.06689,4.94E-02,4.94E-02
20901,1,0.008541,1.59E-07,1.59E-07,,20901,0.981843,0.098378,1.82E-02,1.82E-02
21001,1,0.008611,1.58E-07,1.58E-07,,21001,1.028061,0.085384,-2.81E-02,2.81E-02
21101,1,0.008668,1.57E-07,1.57E-07,,21101,1,0.052647,9.96E-08,9.96E-08
21201,1,0.008687,1.57E-07,1.57E-07,,21201,0.923797,0.123133,7.62E-02,7.62E-02
21301,1,0.008744,1.56E-07,1.56E-07,,21301,0.998855,0.103971,1.14E-03,1.14E-03
21401,1,0.008761,1.55E-07,1.55E-07,,21401,0.991176,0.1218,8.82E-03,8.82E-03
21501,1,0.008823,1.55E-07,1.55E-07,,21501,0.981572,0.096895,1.84E-02,1.84E-02
21601,1,0.009228,1.54E-07,1.54E-07,,21601,0.995997,0.069926,4.00E-03,4.00E-03
21701,1,0.008878,1.53E-07,1.53E-07,,21701,0.983842,0.11619,1.62E-02,1.62E-02
21801,1,0.008954,1.53E-07,1.53E-07,,21801,0.984179,0.146168,1.58E-02,1.58E-02
21901,1,0.008995,1.52E-07,1.52E-07,,21901,0.999734,0.089172,2.66E-04,2.66E-04
22001,1,0.009009,1.51E-07,1.51E-07,,22001,0.990146,0.093674,9.85E-03,9.85E-03
22101,1,0.009095,1.51E-07,1.51E-07,,22101,0.986985,0.140871,1.30E-02,1.30E-02
22201,1,0.009085,1.50E-07,1.50E-07,,22201,0.999997,0.138799,3.15E-06,3.15E-06
22301,1,0.009123,1.49E-07,1.49E-07,,22301,0.999597,0.101295,4.03E-04,4.03E-04
22401,1,0.00917,1.49E-07,1.49E-07,,22401,0.985467,0.137247,1.45E-02,1.45E-02
22501,1,0.009235,1.48E-07,1.48E-07,,22501,0.99927,0.102725,7.30E-04,7.30E-04
22601,1,0.009243,1.48E-07,1.48E-07,,22601,0.995118,0.115706,4.88E-03,4.88E-03
22701,1,0.009317,1.47E-07,1.47E-07,,22701,0.980834,0.117617,1.92E-02,1.92E-02
