Thread,Average,Min,Max,Range,Variance
687,0.245898,0.220206,0.284563,0.064357,0.060615
688,0.244814,0.223213,0.270491,0.047278,0.060055
689,0.243927,0.226072,0.276725,0.050653,0.059591
690,0.245522,0.229964,0.281198,0.051234,0.060386
691,0.245447,0.220692,0.272517,0.051825,0.060355
692,0.245826,0.227309,0.284255,0.056946,0.060553
693,0.245708,0.227645,0.279877,0.052232,0.060483
694,0.242516,0.221528,0.280210,0.058682,0.058902
695,0.242403,0.227719,0.264560,0.036841,0.058842
696,0.243879,0.218405,0.264379,0.045974,0.059562
697,0.246319,0.221184,0.269365,0.048181,0.060770
698,0.247959,0.226982,0.284269,0.057287,0.061613
699,0.247754,0.228894,0.282355,0.053461,0.061474
700,0.247586,0.231708,0.270547,0.038839,0.061387
701,0.244647,0.223806,0.268677,0.044871,0.059963
702,0.246160,0.229467,0.286371,0.056904,0.060692
703,0.245734,0.230288,0.262855,0.032567,0.060443
704,0.245463,0.220786,0.271164,0.050378,0.060369
705,0.243979,0.225727,0.276348,0.050621,0.059650
706,0.244103,0.232565,0.263335,0.030770,0.059634
707,0.244128,0.224343,0.266626,0.042283,0.059678
708,0.245287,0.226729,0.275571,0.048842,0.060307
709,0.245043,0.221902,0.267236,0.045334,0.060146
710,0.246006,0.229787,0.274872,0.045085,0.060658
711,0.245607,0.228330,0.279172,0.050842,0.060439
712,0.247633,0.231092,0.275797,0.044705,0.061425
713,0.245870,0.226178,0.261584,0.035406,0.060531
714,0.244852,0.222555,0.272737,0.050182,0.060107
715,0.244413,0.225168,0.286457,0.061289,0.059846
716,0.244796,0.227656,0.276362,0.048706,0.060015
717,0.245421,0.223983,0.278140,0.054157,0.060331
718,0.246885,0.228493,0.266176,0.037683,0.061025
719,0.249035,0.226642,0.270356,0.043714,0.062125
720,0.246528,0.223415,0.266694,0.043279,0.060844
721,0.245000,0.226038,0.273973,0.047935,0.060122
722,0.245222,0.218225,0.262551,0.044326,0.060234
723,0.246934,0.222491,0.279234,0.056743,0.061106
724,0.247563,0.224219,0.268881,0.044662,0.061390
725,0.251343,0.226600,0.296698,0.070098,0.063504
726,0.246019,0.220105,0.273697,0.053592,0.060637
727,0.246612,0.225547,0.270746,0.045199,0.060917
728,0.246734,0.227069,0.276710,0.049641,0.060965
729,0.243860,0.220787,0.268641,0.047854,0.059562
730,0.246734,0.226094,0.275905,0.049811,0.060971
731,0.246306,0.228807,0.279757,0.050950,0.060783
732,0.249808,0.228308,0.281056,0.052748,0.062527
733,0.243326,0.215825,0.270293,0.054468,0.059311
734,0.245850,0.226340,0.273425,0.047085,0.060564
735,0.246064,0.223443,0.283173,0.059730,0.060648
736,0.247445,0.228781,0.275216,0.046435,0.061333
737,0.247930,0.229588,0.264958,0.035370,0.061519
738,0.244882,0.227934,0.278389,0.050455,0.060065
739,0.244786,0.228116,0.272064,0.043948,0.060008
740,0.244042,0.224242,0.259926,0.035684,0.059635
741,0.246838,0.223505,0.273023,0.049518,0.061048
742,0.245378,0.226285,0.280754,0.054469,0.060310
743,0.244063,0.230571,0.287826,0.057255,0.059676
744,0.245959,0.225989,0.268852,0.042863,0.060617
745,0.247333,0.222485,0.271067,0.048582,0.061284
746,0.245360,0.226809,0.267459,0.040650,0.060302
747,0.244758,0.224082,0.262414,0.038332,0.059983
748,0.247100,0.224560,0.285405,0.060845,0.061184
749,0.250889,0.229675,0.289446,0.059771,0.063086
750,0.254239,0.239686,0.273622,0.033936,0.064696
751,0.248999,0.224893,0.270961,0.046068,0.062096
752,0.245856,0.227860,0.265599,0.037739,0.060528
753,0.243722,0.220703,0.266455,0.045752,0.059501
754,0.242189,0.229312,0.267650,0.038338,0.058741
755,0.242050,0.219742,0.259124,0.039382,0.058662
756,0.244128,0.220132,0.263206,0.043074,0.059696
757,0.242998,0.221283,0.275773,0.054490,0.059139
758,0.244198,0.226899,0.278388,0.051489,0.059735
759,0.243763,0.228881,0.260275,0.031394,0.059479
760,0.241275,0.227618,0.262019,0.034401,0.058272
761,0.243604,0.229118,0.260450,0.031332,0.059402
762,0.242484,0.225723,0.262163,0.036440,0.058860
763,0.241737,0.221281,0.266091,0.044810,0.058523
764,0.244019,0.225435,0.274570,0.049135,0.059614
765,0.244558,0.223228,0.265310,0.042082,0.059896
766,0.243395,0.227765,0.277042,0.049277,0.059331
767,0.245722,0.230111,0.268294,0.038183,0.060458
768,0.245610,0.232623,0.274302,0.041679,0.060420
769,0.243548,0.224535,0.266124,0.041589,0.059399
770,0.242604,0.227697,0.273348,0.045651,0.058953
771,0.245062,0.229593,0.270837,0.041244,0.060121
772,0.243499,0.223300,0.266498,0.043198,0.059394
773,0.248932,0.225289,0.276321,0.051032,0.062068
774,0.247623,0.222121,0.277788,0.055667,0.061449
775,0.245189,0.219690,0.277653,0.057963,0.060252
776,0.247999,0.231552,0.287973,0.056421,0.061601
777,0.246927,0.223763,0.266827,0.043064,0.061048
778,0.247146,0.229273,0.266763,0.037490,0.061197
779,0.247165,0.224037,0.268879,0.044842,0.061196
780,0.248520,0.229921,0.278398,0.048477,0.061904
781,0.247794,0.222761,0.267485,0.044724,0.061491
782,0.246617,0.223395,0.268195,0.044800,0.060932
783,0.246779,0.228242,0.277675,0.049433,0.061003
784,0.250247,0.228770,0.286754,0.057984,0.062745
785,0.246363,0.228105,0.280672,0.052567,0.060814
786,0.247858,0.229023,0.277099,0.048076,0.061571
787,0.247221,0.226774,0.281213,0.054439,0.061203
788,0.247402,0.223120,0.276484,0.053364,0.061325
789,0.245263,0.222797,0.285169,0.062372,0.060272
790,0.247462,0.226864,0.268655,0.041791,0.061353
791,0.245912,0.218890,0.276110,0.057220,0.060615
792,0.246685,0.223570,0.266639,0.043069,0.060916
793,0.250752,0.229520,0.287504,0.057984,0.063003
794,0.247086,0.224260,0.266124,0.041864,0.061142
795,0.246629,0.229609,0.272444,0.042835,0.060898
796,0.246985,0.228290,0.277557,0.049267,0.061096
797,0.245962,0.228449,0.265443,0.036994,0.060579
798,0.249481,0.223826,0.272597,0.048771,0.062357
799,0.245931,0.227039,0.271503,0.044464,0.060591
800,0.246779,0.229059,0.269723,0.040664,0.061001
801,0.248598,0.226115,0.283321,0.057206,0.061918
802,0.246684,0.225615,0.268168,0.042553,0.060937
803,0.245080,0.218052,0.264957,0.046905,0.060154
804,0.247337,0.225474,0.272541,0.047067,0.061256
805,0.248425,0.223612,0.288874,0.065262,0.061858
806,0.246961,0.230061,0.271352,0.041291,0.061075
807,0.247717,0.227572,0.265851,0.038279,0.061448
808,0.245879,0.224618,0.267088,0.042470,0.060548
809,0.243440,0.225095,0.273104,0.048009,0.059374
810,0.245725,0.222389,0.269018,0.046629,0.060470
811,0.244242,0.225493,0.268884,0.043391,0.059726
812,0.245745,0.227564,0.283667,0.056103,0.060514
813,0.244218,0.226355,0.266064,0.039709,0.059722
814,0.243304,0.220050,0.279014,0.058964,0.059309
815,0.243205,0.226893,0.268429,0.041536,0.059232
816,0.243141,0.223555,0.287739,0.064184,0.059252
817,0.244406,0.223597,0.275377,0.051780,0.059842
818,0.244281,0.232714,0.266122,0.033408,0.059730
819,0.244271,0.229104,0.263264,0.034160,0.059746
820,0.241652,0.223316,0.265628,0.042312,0.058476
821,0.243422,0.227814,0.264690,0.036876,0.059335
822,0.242053,0.223677,0.262947,0.039270,0.058677
823,0.244296,0.221708,0.267387,0.045679,0.059770
824,0.244038,0.230616,0.266227,0.035611,0.059647
825,0.243370,0.227286,0.257347,0.030061,0.059273
826,0.247055,0.224280,0.286688,0.062408,0.061158
827,0.242763,0.229743,0.268074,0.038331,0.059006
828,0.242620,0.222719,0.259273,0.036554,0.058930
829,0.244469,0.224837,0.285041,0.060204,0.059878
830,0.245438,0.223772,0.273586,0.049814,0.060357
831,0.241798,0.222962,0.257430,0.034468,0.058527
832,0.244447,0.226514,0.270733,0.044219,0.059841
833,0.244780,0.224693,0.272000,0.047307,0.060037
834,0.241854,0.226349,0.266272,0.039923,0.058554
835,0.247157,0.225599,0.282070,0.056471,0.061227
836,0.243252,0.220322,0.274991,0.054669,0.059260
837,0.243404,0.228151,0.268414,0.040263,0.059314
838,0.244633,0.228746,0.274546,0.045800,0.059958
839,0.244660,0.226071,0.272506,0.046435,0.059967
840,0.242422,0.224208,0.263223,0.039015,0.058845
841,0.244108,0.228170,0.268153,0.039983,0.059650
842,0.244539,0.229317,0.262486,0.033169,0.059875
843,0.245965,0.228083,0.276319,0.048236,0.060607
844,0.241036,0.219938,0.282250,0.062312,0.058227
845,0.250518,0.231339,0.272948,0.041609,0.062886
846,0.258179,0.229200,0.281880,0.052680,0.066826
847,0.248508,0.226574,0.283916,0.057342,0.061895
848,0.246293,0.228623,0.269837,0.041214,0.060784
