Thread,Average,Min,Max,Range,Variance
764,0.358726,0.331649,0.395031,0.063382,0.128819
765,0.359017,0.331493,0.398382,0.066889,0.129154
766,0.361343,0.331790,0.408212,0.076422,0.130788
767,0.359508,0.326828,0.391638,0.064810,0.129479
768,0.364139,0.326127,0.402730,0.076603,0.132853
769,0.363531,0.334476,0.402013,0.067537,0.132354
770,0.363262,0.330834,0.396163,0.065329,0.132170
771,0.360597,0.320493,0.402189,0.081696,0.130382
772,0.360834,0.334545,0.387379,0.052834,0.130396
773,0.366226,0.334338,0.436856,0.102518,0.134518
774,0.362942,0.332004,0.397261,0.065257,0.131962
775,0.366655,0.319774,0.406975,0.087201,0.134664
776,0.363924,0.326605,0.398370,0.071765,0.132675
777,0.361240,0.326085,0.393535,0.067450,0.130686
778,0.366969,0.341901,0.400866,0.058965,0.134860
779,0.363038,0.339498,0.385141,0.045643,0.131908
780,0.362723,0.324981,0.404256,0.079275,0.131847
781,0.362205,0.334045,0.409918,0.075873,0.131493
782,0.363747,0.322107,0.396482,0.074375,0.132525
783,0.365423,0.331849,0.402575,0.070726,0.133811
784,0.363300,0.340694,0.400336,0.059642,0.132174
785,0.369933,0.337300,0.407060,0.069760,0.137085
786,0.364816,0.343789,0.399010,0.055221,0.133238
787,0.365028,0.337234,0.408880,0.071646,0.133494
